index,우편번호,실시간빠른길,편한길,최적경로,무료우선,second_highest,주소
9087,14931,10.52,10.52,10.52,10.52,10.52,경기도 시흥시 수인로 2732
9088,14932,8.44,7.02,8.44,8.44,8.44,경기도 시흥시 금오로265번길 17
9089,14933,9.8,8.38,9.8,9.8,9.8,경기도 시흥시 금오로121번길 14
9090,14934,13.4,11.65,13.4,13.4,13.4,경기도 시흥시 박달로 100
9091,14935,13.47,13.47,13.47,13.47,13.47,경기도 시흥시 목감2길 46
9092,14936,15.31,13.56,15.31,15.31,15.31,경기도 시흥시 수인로2216번길 33
9093,14937,6.81,6.81,6.81,6.81,6.81,경기도 시흥시 수인로3077번길 42
9094,14938,7.59,7.59,7.59,7.59,7.59,경기도 시흥시 수인로2979번길 19
9095,14939,9.33,9.33,9.33,9.33,9.33,경기도 시흥시 수인로2793번길 9
9096,14940,8.53,8.53,8.53,8.53,8.53,경기도 시흥시 매화1로 59
9097,14941,8.74,8.74,8.74,8.74,8.74,경기도 시흥시 수인로 2873
9098,14942,9.6,9.6,8.83,8.83,9.6,경기도 시흥시 매화로 111
9099,14943,9.59,9.59,9.59,9.59,9.59,경기도 시흥시 찬우물2길 6
9100,14944,9.63,9.63,9.63,9.63,9.63,경기도 시흥시 하중로 21
9101,14945,11.54,11.54,11.54,11.54,11.54,경기도 시흥시 시흥대로 944
9102,14946,6.78,6.78,6.78,6.78,6.78,경기도 시흥시 수인로3413번길 90
9103,14947,7.03,7.03,7.03,7.03,7.03,경기도 시흥시 신천6길 58
9104,14948,7.19,7.19,7.19,7.19,7.19,경기도 시흥시 수인로3395번길 56
9105,14949,7.25,7.25,7.25,7.25,7.25,경기도 시흥시 신천천동로51번길 1
9106,14950,5.69,5.64,6.13,6.13,6.13,경기도 시흥시 신천로100번길 19
9107,14951,7.97,7.97,7.97,7.97,7.97,경기도 시흥시 두문로 40
9108,14952,6.22,6.17,7.87,7.87,7.87,경기도 시흥시 포도원로116번길 18
9109,14953,10.82,10.82,7.82,7.82,10.82,경기도 시흥시 두문로71번길 108
9110,14954,11.75,11.75,7.05,7.05,11.75,경기도 시흥시 밤뒤길 110
9111,14955,9.2,9.2,9.2,9.2,9.2,경기도 시흥시 방산가마터길 41
9112,14956,11.73,11.73,11.73,11.73,11.73,경기도 시흥시 구수미1길 58
9113,14957,10.83,10.83,10.83,10.83,10.83,경기도 시흥시 신현로12번길 47
9114,14958,7.06,7.06,7.06,7.06,7.06,경기도 시흥시 용부리길 109
9115,14959,10.08,10.08,10.08,10.08,10.08,경기도 시흥시 서해안로 1146
9116,14960,13.48,13.48,13.48,13.48,13.48,경기도 시흥시 서해안로 1046
9117,14961,10.71,10.71,10.71,10.71,10.71,경기도 시흥시 신현로 240
9118,14962,10.42,10.42,10.42,10.42,10.42,경기도 시흥시 하중로 45
9119,14963,13.68,13.68,13.68,13.68,13.68,경기도 시흥시 월곶중앙로 71
9120,14964,13.99,13.99,13.99,13.99,13.99,경기도 시흥시 월곶해안로 69
9121,14965,13.67,14.06,13.67,13.67,13.67,경기도 시흥시 월곶중앙로14번길 87
