우편번호,주소
25794,강원특별자치도 동해시 공단12로 20
25796,강원특별자치도 동해시 공단9로 113
25795,강원특별자치도 동해시 공단12로 77
25818,강원특별자치도 동해시 귀운길 100
25811,강원특별자치도 동해시 나안2길 32
25810,강원특별자치도 동해시 나안1길 9
25808,강원특별자치도 동해시 청운1길 55
25812,강원특별자치도 동해시 동해대로 4898
25822,강원특별자치도 동해시 내동길 137
25821,강원특별자치도 동해시 봉정2길 5
25820,강원특별자치도 동해시 강원남부로 4609
25814,강원특별자치도 동해시 구미택지1길 59
25816,강원특별자치도 동해시 동해대로 4746
25743,강원특별자치도 동해시 달방길 283
25708,강원특별자치도 동해시 일출로 385
25707,강원특별자치도 동해시 대진항길 27
25803,강원특별자치도 동해시 동회길 88
25806,강원특별자치도 동해시 효자남길 64
25807,강원특별자치도 동해시 효자남길 29
25805,강원특별자치도 동해시 청운로 113
25704,강원특별자치도 동해시 신계길 5
25700,강원특별자치도 동해시 동해대로 6218
25701,강원특별자치도 동해시 석두골길 28
25705,강원특별자치도 동해시 동해대로 6121
25717,강원특별자치도 동해시 일출로 83
25711,강원특별자치도 동해시 덕장1길 36
25718,강원특별자치도 동해시 일출로 92
25716,강원특별자치도 동해시 산제골1길 35
25709,강원특별자치도 동해시 도째비길 22
25710,강원특별자치도 동해시 해맞이길 229
25715,강원특별자치도 동해시 동문산길 2
25721,강원특별자치도 동해시 발한로 167
25727,강원특별자치도 동해시 해안로 511
25720,강원특별자치도 동해시 시장안길 8
25725,강원특별자치도 동해시 발한로 146
25722,강원특별자치도 동해시 발한로 159
25731,강원특별자치도 동해시 발한로 82
25724,강원특별자치도 동해시 발한로 105
25728,강원특별자치도 동해시 임항로 99
25732,강원특별자치도 동해시 수원지2길 3
25740,강원특별자치도 동해시 동해대로 5705
25723,강원특별자치도 동해시 발한천길 53
25726,강원특별자치도 동해시 향로3길 43
25713,강원특별자치도 동해시 해안로 635
25714,강원특별자치도 동해시 발한로 279
25719,강원특별자치도 동해시 발한로 218
25729,강원특별자치도 동해시 부두길 2
25706,강원특별자치도 동해시 큰발한길 13
25712,강원특별자치도 동해시 발한로 384
25733,강원특별자치도 동해시 가마골길 20
25741,강원특별자치도 동해시 승지로 243
25735,강원특별자치도 동해시 부곡3길 19
25736,강원특별자치도 동해시 부곡5길 34
25734,강원특별자치도 동해시 부곡복개로 19
25730,강원특별자치도 동해시 전망대길 4
25738,강원특별자치도 동해시 발한로 28
25815,강원특별자치도 동해시 전천로 217
25742,강원특별자치도 동해시 비천길 295
25746,강원특별자치도 동해시 삼화로 375
25745,강원특별자치도 동해시 삼화로 85
25744,강원특별자치도 동해시 이기로 97
25789,강원특별자치도 동해시 송정로 27
25779,강원특별자치도 동해시 대동로 210
25788,강원특별자치도 동해시 솔밭2길 11
25785,강원특별자치도 동해시 대동로 261
25776,강원특별자치도 동해시 용정로 67
25787,강원특별자치도 동해시 동해역길 126
25786,강원특별자치도 동해시 송정중앙로 67
25809,강원특별자치도 동해시 청운2길 17
25804,강원특별자치도 동해시 언당길 5
25702,강원특별자치도 동해시 터일길 7
25783,강원특별자치도 동해시 해안로 65
25780,강원특별자치도 동해시 봉오동길 46
25784,강원특별자치도 동해시 숫골길 17
25819,강원특별자치도 동해시 이원길 168
25801,강원특별자치도 동해시 분토길 165
25800,강원특별자치도 동해시 지양길 200
25771,강원특별자치도 동해시 동굴로 77
25764,강원특별자치도 동해시 항골길 28
25777,강원특별자치도 동해시 감추1길 10
25775,강원특별자치도 동해시 충혼길 23
25778,강원특별자치도 동해시 감추2길 27
25769,강원특별자치도 동해시 한섬로 107
25766,강원특별자치도 동해시 한섬로 23
25759,강원특별자치도 동해시 천곡2길 3
25752,강원특별자치도 동해시 평원1길 5
25761,강원특별자치도 동해시 천곡로 44
25770,강원특별자치도 동해시 동굴로 123
25781,강원특별자치도 동해시 감추로 8
25754,강원특별자치도 동해시 천곡로 117
25750,강원특별자치도 동해시 평릉길 21
25768,강원특별자치도 동해시 중앙로 229
25772,강원특별자치도 동해시 한섬로 28
25758,강원특별자치도 동해시 천곡로 35
25767,강원특별자치도 동해시 한섬로 73
25755,강원특별자치도 동해시 천곡로 77
25749,강원특별자치도 동해시 평릉길 14
25753,강원특별자치도 동해시 한섬해안길 104
25763,강원특별자치도 동해시 천곡로 24
25765,강원특별자치도 동해시 샘실1길 3
25774,강원특별자치도 동해시 동굴로 15
25773,강원특별자치도 동해시 한섬로 22
25756,강원특별자치도 동해시 천곡1길 90
25760,강원특별자치도 동해시 대학로 31
25747,강원특별자치도 동해시 평릉1길 37
25748,강원특별자치도 동해시 평릉1길 37
25757,강원특별자치도 동해시 천곡로 15
25782,강원특별자치도 동해시 중앙로 143
25751,강원특별자치도 동해시 하평로 44
25737,강원특별자치도 동해시 평원1길 135
25739,강원특별자치도 동해시 평원로 115
25802,강원특별자치도 동해시 효자로 691
25953,강원특별자치도 삼척시 동활길 138
25954,강원특별자치도 삼척시 오목길 495
25955,강원특별자치도 삼척시 청옥로 4090
25909,강원특별자치도 삼척시 새천년도로 589
25908,강원특별자치도 삼척시 동해대로 4303
25919,강원특별자치도 삼척시 근산길 227
25910,강원특별자치도 삼척시 광진2길 59
25923,강원특별자치도 삼척시 청석로2길 3
25911,강원특별자치도 삼척시 동해대로 4183
25916,강원특별자치도 삼척시 중앙로 279
