우편번호,주소,도로거리(km),최단거리(km),최장거리(km)
25645,강원특별자치도 강릉시 석화동굴길 244,258.09,105.32,321.83
25636,강원특별자치도 강릉시 생골길 65,246.21,105.32,321.83
25634,강원특별자치도 강릉시 금진솔밭길 104,246.71,105.32,321.83
25554,강원특별자치도 강릉시 율곡로 2816,225.36,105.32,321.83
25552,강원특별자치도 강릉시 경강로 2179,225.84,105.32,321.83
25553,강원특별자치도 강릉시 옥천로8번길 4,225.77,105.32,321.83
25550,강원특별자치도 강릉시 중기1길 3,225.57,105.32,321.83
25549,강원특별자치도 강릉시 중기3길 3,225.7,105.32,321.83
25644,강원특별자치도 강릉시 왕산로 14,247.73,105.32,321.83
25642,강원특별자치도 강릉시 노추산로 1503,219.31,105.32,321.83
25639,강원특별자치도 강릉시 석우동길 59,231.92,105.32,321.83
25640,강원특별자치도 강릉시 백두대간로 1375,235.55,105.32,321.83
25643,강원특별자치도 강릉시 백두대간로 633,242.06,105.32,321.83
25641,강원특별자치도 강릉시 왕산로 2328,230.79,105.32,321.83
25614,강원특별자치도 강릉시 독송길110번길 34,230.46,105.32,321.83
25619,강원특별자치도 강릉시 월호평길 88,229.77,105.32,321.83
25458,강원특별자치도 강릉시 선수촌로 92,223.07,105.32,321.83
25456,강원특별자치도 강릉시 유죽길 11,223.81,105.32,321.83
25457,강원특별자치도 강릉시 동해대로 3097,225.33,105.32,321.83
25532,강원특별자치도 강릉시 문화의길 12,224.59,105.32,321.83
25577,강원특별자치도 강릉시 성덕로 264,229.59,105.32,321.83
25583,강원특별자치도 강릉시 입암로 45,227.64,105.32,321.83
25580,강원특별자치도 강릉시 용지로 24,227.61,105.32,321.83
25615,강원특별자치도 강릉시 입암로148번길 38,228.14,105.32,321.83
25576,강원특별자치도 강릉시 성덕포남로 80,228.64,105.32,321.83
25582,강원특별자치도 강릉시 용지로 23,227.53,105.32,321.83
25578,강원특별자치도 강릉시 강변로 427,227.21,105.32,321.83
25581,강원특별자치도 강릉시 강중길 53,225.99,105.32,321.83
25616,강원특별자치도 강릉시 성덕로 316,228.11,105.32,321.83
25579,강원특별자치도 강릉시 입암로 147,228.47,105.32,321.83
25420,강원특별자치도 강릉시 신리대동길 31,230.81,105.32,321.83
25418,강원특별자치도 강릉시 장성중길 7,232.1,105.32,321.83
25424,강원특별자치도 강릉시 신리2길 4,231.61,105.32,321.83
25423,강원특별자치도 강릉시 연주로 275,230.07,105.32,321.83
25419,강원특별자치도 강릉시 주문로 44,231.99,105.32,321.83
25422,강원특별자치도 강릉시 보리골길 26,230.33,105.32,321.83
25415,강원특별자치도 강릉시 아래사다리길 38,232.03,105.32,321.83
25413,강원특별자치도 강릉시 구시장길 4,232.28,105.32,321.83
25417,강원특별자치도 강릉시 웃사다리1길 16,231.61,105.32,321.83
25416,강원특별자치도 강릉시 신리천로 117,230.88,105.32,321.83
25421,강원특별자치도 강릉시 금용길 116,232.07,105.32,321.83
25425,강원특별자치도 강릉시 연주로 270,230.3,105.32,321.83
25414,강원특별자치도 강릉시 연주로 428,232.02,105.32,321.83
25405,강원특별자치도 강릉시 용소마을길 81,233.08,105.32,321.83
25401,강원특별자치도 강릉시 신리천로 1181,241.55,105.32,321.83
25402,강원특별자치도 강릉시 금용길 169,232.93,105.32,321.83
25411,강원특별자치도 강릉시 해안로 1822,233.22,105.32,321.83
25404,강원특별자치도 강릉시 소돌안길 19,235.7,105.32,321.83
25409,강원특별자치도 강릉시 약수동길 4,233.47,105.32,321.83
25410,강원특별자치도 강릉시 주문로 111,232.56,105.32,321.83
25408,강원특별자치도 강릉시 해안로 1907,236.71,105.32,321.83
25407,강원특별자치도 강릉시 소돌길 42,236.46,105.32,321.83
25412,강원특별자치도 강릉시 해안로 1791,232.93,105.32,321.83
25406,강원특별자치도 강릉시 주문북로 147,235.8,105.32,321.83
25403,강원특별자치도 강릉시 향호길 30,236.41,105.32,321.83
25454,강원특별자치도 강릉시 동해대로3305번길 13,227.31,105.32,321.83
25455,강원특별자치도 강릉시 죽헌길85번길 55,226.83,105.32,321.83
25470,강원특별자치도 강릉시 연당길 89,230.88,105.32,321.83
25471,강원특별자치도 강릉시 난설헌로 149,231.99,105.32,321.83
25568,강원특별자치도 강릉시 성덕포남로168번길 41,227.32,105.32,321.83
25565,강원특별자치도 강릉시 하평6길 53,227.42,105.32,321.83
25478,강원특별자치도 강릉시 보래미길 37,227.1,105.32,321.83
25481,강원특별자치도 강릉시 산양길26번길 18,228.76,105.32,321.83
25545,강원특별자치도 강릉시 경강로2255번길 25,226.19,105.32,321.83
25572,강원특별자치도 강릉시 하평길 5,226.49,105.32,321.83
25487,강원특별자치도 강릉시 성덕포남로206번길 6,226.48,105.32,321.83
25492,강원특별자치도 강릉시 강릉대로 351,226.06,105.32,321.83
25564,강원특별자치도 강릉시 강변북길 201,227.56,105.32,321.83
25571,강원특별자치도 강릉시 경강로2291번길 13,226.69,105.32,321.83
25546,강원특별자치도 강릉시 경강로 2271,226.87,105.32,321.83
25570,강원특별자치도 강릉시 경강로2326번길 10,227.43,105.32,321.83
25477,강원특별자치도 강릉시 가작로 257,226.47,105.32,321.83
25567,강원특별자치도 강릉시 하평3길 47,227.13,105.32,321.83
25485,강원특별자치도 강릉시 강릉대로 447,227.03,105.32,321.83
25486,강원특별자치도 강릉시 가작로 301,226.88,105.32,321.83
25480,강원특별자치도 강릉시 강릉대로469번길 22,227.55,105.32,321.83
25548,강원특별자치도 강릉시 용지로104번길 7,225.91,105.32,321.83
25547,강원특별자치도 강릉시 경강로2268번길 8,226.67,105.32,321.83
25484,강원특별자치도 강릉시 산양큰길 14,227.78,105.32,321.83
25566,강원특별자치도 강릉시 하평길 31,227.04,105.32,321.83
25569,강원특별자치도 강릉시 경강로 2319,227.4,105.32,321.83
25483,강원특별자치도 강릉시 강릉대로527번길 8,227.84,105.32,321.83
25479,강원특별자치도 강릉시 강릉대로469번길 39,228.13,105.32,321.83
25482,강원특별자치도 강릉시 연당길 42,228.31,105.32,321.83
25522,강원특별자치도 강릉시 선수촌로63번길 18,223.06,105.32,321.83
25520,강원특별자치도 강릉시 사임당로 131,223.1,105.32,321.83
25536,강원특별자치도 강릉시 토성로61번길 2,223.62,105.32,321.83
25524,강원특별자치도 강릉시 경강로1804번길 12,222.36,105.32,321.83
25525,강원특별자치도 강릉시 홍제로71번길 31,223.37,105.32,321.83
25519,강원특별자치도 강릉시 하슬라로 15,223.75,105.32,321.83
25523,강원특별자치도 강릉시 경강로 1936,222.85,105.32,321.83
25599,강원특별자치도 강릉시 관솔길12번길 45,222.81,105.32,321.83
25598,강원특별자치도 강릉시 회산로 347,222.48,105.32,321.83
25600,강원특별자치도 강릉시 관솔길 61,222.79,105.32,321.83
24728,강원특별자치도 고성군 교촌길 57,264.62,105.32,321.83
24741,강원특별자치도 고성군 진부령로 2137,252.43,105.32,321.83
24727,강원특별자치도 고성군 진부령로 2440,255.64,105.32,321.83
24726,강원특별자치도 고성군 건봉사로 116,264.84,105.32,321.83
24738,강원특별자치도 고성군 금수리1길 50,261.86,105.32,321.83
24736,강원특별자치도 고성군 수성로 48,261.01,105.32,321.83
24731,강원특별자치도 고성군 동호길 46,262.47,105.32,321.83
24733,강원특별자치도 고성군 간성북로 80,261.47,105.32,321.83
24725,강원특별자치도 고성군 진부령로 3036,264.7,105.32,321.83
24730,강원특별자치도 고성군 간성로 140,262.21,105.32,321.83
24729,강원특별자치도 고성군 간성로 81,262.8,105.32,321.83
24735,강원특별자치도 고성군 간성로 82,261.5,105.32,321.83
24732,강원특별자치도 고성군 남천마루1길 50,261.33,105.32,321.83
24734,강원특별자치도 고성군 간성로30번길 7,261.03,105.32,321.83
24737,강원특별자치도 고성군 수성로 37,260.75,105.32,321.83
24740,강원특별자치도 고성군 어천2길 11,257.8,105.32,321.83
24742,강원특별자치도 고성군 진부령로 1075,241.98,105.32,321.83
24739,강원특별자치도 고성군 탑동길 512,260.84,105.32,321.83
24717,강원특별자치도 고성군 거탄진로 135,269.33,105.32,321.83
24716,강원특별자치도 고성군 거진길 21,269.25,105.32,321.83
24713,강원특별자치도 고성군 거탄진로 22,268.2,105.32,321.83
24711,강원특별자치도 고성군 행랑골길 24,269.69,105.32,321.83
24719,강원특별자치도 고성군 벌평로 27,269.4,105.32,321.83
24715,강원특별자치도 고성군 거진길 31,269.3,105.32,321.83
24714,강원특별자치도 고성군 거탄진로 149,269.47,105.32,321.83
24718,강원특별자치도 고성군 거진운동장길 52,269.36,105.32,321.83
24720,강원특별자치도 고성군 거탄진로29번길 7,268.34,105.32,321.83
24712,강원특별자치도 고성군 거성길 38,270.05,105.32,321.83
24710,강원특별자치도 고성군 벌평로 33,269.33,105.32,321.83
24708,강원특별자치도 고성군 건봉사로 735,260.99,105.32,321.83
24723,강원특별자치도 고성군 반암길 22,265.66,105.32,321.83
24722,강원특별자치도 고성군 낙산길 229,269.65,105.32,321.83
24724,강원특별자치도 고성군 남강로 540,268.35,105.32,321.83
24709,강원특별자치도 고성군 남강로 845,272.13,105.32,321.83
24721,강원특별자치도 고성군 자산길 19,268.36,105.32,321.83
24744,강원특별자치도 고성군 가진길 20,258.19,105.32,321.83
24745,강원특별자치도 고성군 공현진해변길 69,289.56,105.32,321.83
24747,강원특별자치도 고성군 동해대로 6130,288.62,105.32,321.83
24748,강원특별자치도 고성군 구성2길 28,258.2,105.32,321.83
24752,강원특별자치도 고성군 괘진길 53,248.5,105.32,321.83
24750,강원특별자치도 고성군 삼포민박촌1길 14,250.92,105.32,321.83
24751,강원특별자치도 고성군 삼포길 7,250.09,105.32,321.83
